,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
156,FR,"Lead, zinc and tin and products thereof",Secondary,49,0.342,0.329,2.92,0.564,0.753,0.829,1.797,0.462,6.035,0.119
157,FR,Other non-ferrous metal products,Secondary,49,0.154,0.136,6.492,0.29,0.618,0.757,2.339,0.601,10.372,0.29
158,FR,Precious metals,Secondary,49,0.213,0.197,4.685,0.425,0.597,0.731,2.185,0.562,8.893,0.065
159,FR,Aluminium ores and concentrates,Primary,19,0.161,0.114,6.221,0.244,0.598,0.846,2.027,0.689,7.594,0.244
160,FR,Copper ores and concentrates,Primary,27,0.845,0.839,1.184,0.918,0.962,0.982,0.446,0.135,1.562,0.0
161,FR,"Lead, zinc and tin ores and concentrates",Primary,31,0.209,0.183,4.775,0.343,0.719,0.837,1.971,0.574,7.181,0.0
162,FR,Nickel ores and concentrates,Primary,23,0.183,0.146,5.46,0.321,0.662,0.823,1.979,0.631,7.235,0.085
163,FR,Other non-ferrous metal ores and concentrates,Primary,35,0.171,0.146,5.863,0.365,0.545,0.687,2.288,0.644,9.859,0.027
164,FR,Precious metal ores and concentrates,Primary,29,0.212,0.184,4.706,0.386,0.699,0.82,2.005,0.595,7.428,0.0
165,GR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.272,0.251,3.675,0.491,0.709,0.794,1.984,0.554,7.269,0.115
166,GR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.224,0.208,4.459,0.449,0.619,0.706,2.358,0.606,10.565,0.03
167,GR,Machinery and equipment n.e.c. (29),Tertiary,31,0.171,0.144,5.837,0.316,0.662,0.774,2.199,0.64,9.012,0.0
168,GR,Aluminium and aluminium products,Secondary,49,0.352,0.339,2.838,0.581,0.713,0.784,1.904,0.489,6.71,0.051
169,GR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.102,0.083,9.809,0.216,0.471,0.608,2.765,0.71,15.88,0.031
170,GR,Copper products,Secondary,49,0.164,0.147,6.099,0.349,0.566,0.666,2.468,0.634,11.796,0.029
171,GR,"Lead, zinc and tin and products thereof",Secondary,49,0.312,0.298,3.205,0.466,0.807,0.864,1.716,0.441,5.56,0.466
172,GR,Other non-ferrous metal products,Secondary,49,0.134,0.116,7.47,0.233,0.588,0.683,2.507,0.644,12.274,0.032
173,GR,Precious metals,Secondary,49,0.081,0.062,12.397,0.145,0.385,0.558,2.793,0.718,16.327,0.042
174,GR,Aluminium ores and concentrates,Primary,19,0.391,0.358,2.555,0.587,0.865,0.921,1.384,0.47,3.991,0.587
175,GR,Copper ores and concentrates,Primary,27,0.559,0.542,1.789,0.723,0.99,0.995,0.835,0.253,2.305,0.0
176,GR,"Lead, zinc and tin ores and concentrates",Primary,31,0.183,0.156,5.465,0.338,0.64,0.779,2.066,0.602,7.891,0.338
